           Author,                              Title,Orginal Author,Translator ,Editor ,Editor/Orginal Author ,   Language,    No of pages ,             Publisher,Year of Published,              Category ,Subject,    Price,            ISBN,Book format
"""",5.காமராஜரின் வாழ்வும் சாதனைகளும்,-,-,-,,தமிழ்,92,அறிவுப் பதிப்பகம்,2014,வாழ்க்கை வரலாறு,தமிழக அரசியல்,90,9789383670673,paperback 
"""",6.காந்தியடிகளின் வாழ்வும் வாக்கும்,-,-,-,,தமிழ்,130,அறிவுப் பதிப்பகம்,2013,வாழ்க்கை வரலாறு,காந்தி,110,9789383670352,paperback 
"""",7.ஒவ்வொரு மலருக்கும் தனித்தனி மணமுண்டு,-,-,-,,தமிழ்,101,அறிவுப் பதிப்பகம்,2013,சிறுகதை,-,80,9789383670574,paperback 
"""",8.மழை,-,-,-,,தமிழ்,201,அறிவுப் பதிப்பகம்,2000,சிறுகதை,-,60,-,paperback 
"""",9.நெஞ்சின் நடுவே,-,-,-,,தமிழ்,-,அறிவுப் பதிப்பகம்,-,நாவல்,-,80,-,paperback 
"""",10.அந்திமம்,-,-,-,,தமிழ்,-,அறிவுப் பதிப்பகம்,-,சிறுகதை,-,45,-,paperback 
,,,,,,,,,,,-,,,
புதியமாதவி,1.ரசூலின் மனைவியாகிய நான்,-,-,-,,தமிழ்,-,காவ்யா பதிப்பகம்,2019,சிறுகதை,-,140,-,paperback 
"""",2.கதவுகள் திறக்கும் வானம்,-,-,-,,தமிழ் ,-,காவ்யா பதிப்பகம்,2015,கவிதை,-,110,-,paperback 
,,,,,,,,,-,,-,,,
திலகவதி,1.கல்மரம்,-,-,-,,தமிழ்,191,அம்ருதா பதிப்பகம்,2005,நாவல்,-,250,-,paperback 
Translation,2.என் தலைமாட்டில்,டெம்சுலா ஆவ்,திலகவதி,,,தமிழ் ,160,சாகித்திய அகாடெமி,-,"சிறுகதை,மொழிபெயர்ப்பு",-,170,9789387567856,paperback 
Translation,3.உதிரும் இலைகளின் ஓசை,-,திலகவதி,குர்ரத்துலைன் ஹைதர்,,தமிழ் ,352,சாகித்திய அகாடெமி,-,சிறுகதை,-,180,8126016388,paperback 
,,,,,,,,,,,-,,,
அபிமானி,1.பாதரவே,-,-,-,,தமிழ்,258,தடாகம் வெளியீடு,2024,நாவல்,-,320,-,paperback 
"""",2.அபிமானி சிறுகதைகள்,-,-,-,,தமிழ் ,-,நீலம் பதிப்பகம்,2022,சிறுகதை,-,200,-,paperback 
"""",3.தீர்ப்புகளின் காலம்,-,-,-,,தமிழ்,144,தடாகம் வெளியீடு,2019,சிறுகதை,-,150,9789388627115,paperback 
"""",4.தெரிந்தவன்,-,-,-,,தமிழ்,143,தடாகம் வெளியீடு,2019,சிறுகதை,-,150,9789388627122,paperback 
"""",5.நீர்கொத்தி மனிதர்கள்,-,-,-,,தமிழ் ,272,தடாகம் வெளியீடு,2016,நாவல்,-,220,9788193269145,paperback 
"""",6. நட்சத்திரங்களைத் திருடியவர்கள்,-,-,-,,தமிழ்,-,காவ்யா பதிப்பகம்,-,சிறுகதை,-,110,-,paperback 
,,,,,,,,,,,,,,
உஷா சுப்ரமணியன்,1.உஷா சுப்ரமணியன் குறுநாவல்கள்,-,-,-,,தமிழ்,-,எழுத்து பிரசுரம் ,2022,நாவல்,-,350,-,paperback 
"""",2.உஷா சுப்பிரமணியன் கதைகள்,-,-,-,,தமிழ்,-,எழுத்து பிரசுரம் ,2021,சிறுகதை,-,590,-,paperback 
"""",3.கல்யாண வேலிகள்,-,-,-,,தமிழ்,180,திருவரசு புத்தக நிலையம்,2002,நாவல்,-,40,-,paperback 
,,,,,,,,,,,,,,
பாஸ்கர் சக்தி,1.கடலோரக் கிளிஞ்சல்கள்,-,-,-,,தமிழ்,144,டிஸ்கவரி புக் பேலஸ்,2020,கட்டுரை,-,160,-,paperback 
"""",2.பூவரசம் வீடு,-,-,-,,தமிழ்,-,டிஸ்கவரி புக் பேலஸ்,2020,நாவல்,-,200,-,paperback 
"""",3.அழகர்சாமியின் குதிரை,-,-,-,,தமிழ்,-,நற்றிணை பதிப்பகம்,2018,திரைக்கதை,சினிமா,-,-,paperback 
"""",4.முயல் தோப்பு,-,-,-,,தமிழ்,128,டிஸ்கவரி புக் பேலஸ்,2016,சிறுகதை,-,150,9789384301064,paperback 
"""",5.கனக துர்கா,-,-,-,,தமிழ்,406,வம்சி புக்ஸ்,2014,சிறுகதை,-,450,9789380545219,paperback 
"""",6.பறவைகளும் சிறகுகளும்,-,-,-,,தமிழ்,152,கயல் கவின்,2012,கட்டுரை,பெண்கள்,110,-,paperback 
"""",7.காற்று வளையம்,-,-,-,,தமிழ்,-,டிஸ்கவரி புக் பேலஸ்,-,நாவல்,,120,-,paperback 
,,,,,,,,,,,,,,
நா. விச்வநாதன்,1.திசையெல்லாம் பெருவழி,-,-,-,,தமிழ்,75,நியூசெஞ்சுரி புக் ஹவுஸ்,2013,சிறுகதை,-,60,9788123425368,paperback 
"""",2.பாட்டிகளின் சிநேகிதன்,-,-,-,,தமிழ்,128,நியூசெஞ்சுரி புக் ஹவுஸ்,2008,சிறுகதை,-,50,9788123403041,paperback 
,,,,,,,,,,,,,,
ஜீ. முருகன்,1.இனியவன் இறந்துவிட்டான்,-,-,-,,தமிழ்,-,யாவரும் பதிப்பகம்,2024,நாவல்,-,100,-,paperback 
"""",2.தேவதையை தரிசித்த மனிதன்,-,-,-,,தமிழ்,124,யாவரும் பதிப்பகம்,2022,சிறுகதை,-,150,-,paperback 
"""",3.எழுபது கதைகள்,-,-,-,,தமிழ்,618,யாவரும் பதிப்பகம்,2022,சிறுகதை,-,740,-,paperback 
"""",4.நமக்கான நம் வீடு,-,-,-,,தமிழ்,-,யாவரும் பதிப்பகம்,2021,கட்டுரை,தற்சார்பு வாழ்க்கை,100,-,paperback 
editor,5.தேர்ந்தெடுத்த சிறுகதைகள்,-,-,ந. முருகேச பாண்டியன்,,தமிழ்,-,டிஸ்கவரி புக் பேலஸ்,2019,சிறுகதை,-,150,-,paperback 
"""",6.ஆந்த்ரேய் தார்க்கோவஸ்கியின் ஏழு காவியங்கள்,-,-,-,,தமிழ்,124,யாவரும் பதிப்பகம்,2018,கட்டுரை,சினிமா,160,-,paperback 
"""",7.மின்மினிகளின் கனவுக்காலம்,-,-,-,,தமிழ் ,-,யாவரும் பதிப்பகம்,2018,நாவல்,-,190,-,paperback 
"""",8.ஜீ. முருகன் சிறுகதைகள்,-,-,-,,தமிழ்,-,ஆதி பதிப்பகம்,2017,சிறுகதை,-,320,9788192223599,paperback 
"""",9.கண்ணாடி,-,-,-,,தமிழ்,132,யாவரும் பதிப்பகம்,2017,சிறுகதை,-,120,-,paperback 
"""",10.காட்டோவியம்,-,-,-,,தமிழ்,64,யாவரும் பதிப்பகம்,2017,கவிதை,-,60,-,paperback 
"""",11.மரம்,-,-,-,,தமிழ்,232,யாவரும் பதிப்பகம்,2017,நாவல்,-,220,-,paperback 
"""",12.ஆந்த்ரேய் தார்க்கோவஸ்கியின் ஏழு காவியங்கள்,-,-,-,,தமிழ்,126,ஆதி பதிப்பகம்,2012,கட்டுரை,சினிமா,80,-,paperback 
"""",13.காண்டாமிருகம்,-,-,-,,தமிழ்,282,ஆதி பதிப்பகம்,2011,சிறுகதை,-,120,-,paperback 
"""",14.இனியவன் இறந்துவிட்டான்,-,-,-,,தமிழ்,-,ஆதி பதிப்பகம்,2009,நாவல்,-,30,-,paperback 
"""",15.சாம்பல்நிற தேவதை,-,-,-,,தமிழ்,117,உயிர்மை பதிப்பகம்,2005,சிறுகதை,-,70,9788188641482,paperback 
"""",16.வனப்பாதையில்,-,-,-,,தமிழ்,-,அறம் பதிப்பகம்,-,நேர்காணல்,-,100,-,paperback 
,,,-,-,,,,,,,,,,
பாப்லோ அறிவுக்குயில்,1.கிளுக்கி,-,-,-,,தமிழ்,-,நியூசெஞ்சுரி புக் ஹவுஸ்,2021,சிறுகதை,-,65,-,paperback 
"""",2.தமுரு,-,-,-,,தமிழ்,261,எதிர் வெளியீடு,2014,நாவல்,-,220,9789384646110,paperback 
"""",3.பாப்லோ அறிவுக்குயில் சிறுகதைகள்,-,-,-,,தமிழ்,193,அறிவுப் பதிப்பகம்,2009,சிறுகதை,-,90,-,paperback 
,,,,,,,,,,,,,,
ப. கிருஷ்ணசாமி,-,-,-,-,,,,,,,-,,,
Translation,1.சிதம்பர ரகசியம்,கே. பி. பூர்ணச்சந்திர தேஜஸ்வி,ப. கிருஷ்ணசாமி,-,,தமிழ் ,-,சாகித்திய அகாடெமி,2000,"நாவல்,மொழிபெயர்ப்பு",-,250,8126008342,paperback 
ப. கிருஷ்ணசாமி,2.கொங்கு நாட்டு வரலாறு அண்ணமார்சுவாமி,,-,-,,தமிழ்,-,காவ்யா பதிப்பகம்,-,வரலாறு,-,-,-,paperback 
,,,,,,,,,,,,,,
