Author,Title,Orginal Author,Translator,Editor,Language,No of pages,Publisher,Year of Published,Category,Subject,Price,ISBN,Book format
"""",29.பிராயச்சித்தம்,-,-,-,தமிழ்,216,சந்தியா பதிப்பகம்,2011,நாவல்,பிற,200,9789381319932,Paperback
"""",30.அபிதா (காலச்சுவடு),-,-,-,தமிழ்,112,காலச்சுவடு,2009,நாவல்,பிற,150,9788189945909,Paperback
"""",31.சிந்தா நதி (வானதி பதிப்பகம்),-,-,-,தமிழ்,-,வானதி பதிப்பகம்,-,நாவல்,-,150,-,Paperback
"""",32.பிராயச்சித்தம் (உயிர்மை பதிப்பகம்),-,-,-,தமிழ்,-,உயிர்மை பதிப்பகம்,-,நாவல்,பிற,120,-,Paperback
"""",33.விளிம்பில்,-,-,-,தமிழ்,-,உயிர்மை பதிப்பகம்,-,நாவல்,பிற,80,-,Paperback
"""",34.லா.ச.ரா. நாவல்கள்,-,-,பேரா. சு. சண்முகசுந்தரம்,தமிழ்,-,காவ்யா பதிப்பகம் BM,-,நாவல்,-,700,-,Paperback
"""",35.அலைகள்,-,-,-,தமிழ்,-,அமராவதி,-,-,-,120,-,Paperback
"""",36.என் பிரியமுள்ள சிநேகிதனுக்கு,-,-,-,தமிழ்,-,அமராவதி,-,"கட்டுரை,கடிதம்",-,110,-,Paperback
"""",37.சிந்தா நதி (டிஸ்கவரி புக் பேலஸ்),-,-,-,தமிழ்,236,டிஸ்கவரி புக் பேலஸ்,-,கட்டுரை,பிற,180,9789384301460,Paperback
"""",38.லா. ச. ரா. தேர்ந்தெடுத்த சிறுகதைகள்,-,-,-,தமிழ்,384,டிஸ்கவரி புக் பேலஸ்,-,சிறுகதை,பிற,350,-,Paperback
"""",39.கேரளத்தில் எங்கோ,-,-,-,தமிழ்,96,டிஸ்கவரி புக் பேலஸ்,-,நாவல்,பிற,100,9789384301613,Paperback
"""",40.கல் சிரிக்கிறது (டிஸ்கவரி புக் பேலஸ்),-,-,-,தமிழ்,69,டிஸ்கவரி புக் பேலஸ்,-,நாவல்,பிற,70,-,Paperback
"""",41.சௌந்தர்ய,-,-,-,தமிழ்,80,டிஸ்கவரி புக் பேலஸ்,-,நாவல்,பிற,70,9789384301610,Paperback
"""",42.பாற்கடல் (டிஸ்கவரி புக் பேலஸ்),-,-,-,தமிழ்,256,டிஸ்கவரி புக் பேலஸ்,-,நாவல்,பிற,180,9789384301453,Paperback
"""",43.அபிதா (டிஸ்கவரி புக் பேலஸ்),-,-,-,தமிழ்,104,டிஸ்கவரி புக் பேலஸ்,-,நாவல்,-,100,9789384301477,Paperback
தொ.மு.சி . ரகுநாதன்,1.புதுமைப்பித்தன் கதைகள்: சில விமர்சனங்களும் விஷமத்தனங்களும் (பரிசல் பதிப்பகம்),-,-,-,தமிழ்,-,பரிசல்,2023,கட்டுரை,விமர்சனம்,520,9789391949471,Paperback
"""",2.இலக்கிய விமர்சனம்,-,-,-,தமிழ்,-,மலர் புக்ஸ்,2022,கட்டுரை,இலக்கியம்,120,-,Paperback
Translation,3.தாய் (வளரி வெளியீடு,மக்ஸிம் கார்க்கி,தொ.மு.சி . ரகுநாதன்,-,தமிழ்,-,வளரி வெளியீடு,2021,"நாவல்,மொழிபெயர்ப்பு",மார்க்சியம்,450,-,Paperback
Translation,4.தந்தையின் காதலி,மக்ஸிம் கார்க்கி,தொ.மு.சி . ரகுநாதன்,-,தமிழ்,106,தேநீர் பதிப்பகம்,2021,"நாவல்,மொழிபெயர்ப்பு",பிற,110,9788194956617,Paperback
"""",5.முதல் இரவு,-,-,-,தமிழ்,184,பரிசல்,2021,சிறுகதை,பிற,175,-,Paperback
